,attentive,while_doing_other,while_taking_notes,with_other_people,other,What's your preferred way of listening to On Being?
202,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
203,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
204,NA,NA,I take notes while I listen to the show,NA,NA,I take notes while I listen to the show
205,NA,NA,I take notes while I listen to the show,NA,NA,I take notes while I listen to the show
206,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
207,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
208,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
209,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
210,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
211,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
212,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
213,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
214,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
215,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
216,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
217,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
218,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
219,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
220,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
221,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
222,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
223,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
224,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
225,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
226,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
227,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
228,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
229,NA,NA,NA,NA,First time while cleaning or cooking. Then relisten taking notes.then revisit based on topic or preferences,First time while cleaning or cooking. Then relisten taking notes.then revisit based on topic or preferences
230,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
231,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
232,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
233,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
234,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
235,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
236,NA,NA,NA,NA,NA,NA
237,NA,NA,NA,NA,NA,NA
238,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
239,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
240,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
